ENSGID	NAME	CHR	START	END	TSS
ENSG00000186092	OR4F5	1	69091	70008	69091
ENSG00000235249	OR4F29	1	367640	368634	367640
ENSG00000185097	OR4F16	1	621059	622053	622053
ENSG00000187634	SAMD11	1	860260	879955	860260
ENSG00000188976	NOC2L	1	879584	894689	894689
ENSG00000187961	KLHL17	1	895967	901095	895967
ENSG00000187583	PLEKHN1	1	901877	911245	901877
ENSG00000187642	C1orf170	1	910579	917497	917497
ENSG00000188290	HES4	1	934342	935552	935552
ENSG00000187608	ISG15	1	948803	949920	948803
ENSG00000188157	AGRN	1	955503	991496	955503
ENSG00000237330	RNF223	1	1006346	1009687	1009687
ENSG00000131591	C1orf159	1	1017198	1051741	1051741
ENSG00000162571	TTLL10	1	1109264	1133315	1109264
ENSG00000186891	TNFRSF18	1	1138888	1142071	1142071
ENSG00000186827	TNFRSF4	1	1146706	1149518	1149518
ENSG00000078808	SDF4	1	1152288	1167411	1167411
ENSG00000176022	B3GALT6	1	1167629	1170421	1167629
ENSG00000184163	FAM132A	1	1177826	1182102	1182102
ENSG00000160087	UBE2J2	1	1189289	1209265	1209265
ENSG00000162572	SCNN1D	1	1215816	1227409	1215816
ENSG00000131584	ACAP3	1	1227756	1244989	1244989
ENSG00000169972	PUSL1	1	1243947	1247057	1243947
ENSG00000127054	CPSF3L	1	1246965	1260071	1260071
ENSG00000224051	GLTPD1	1	1260136	1264277	1260136
ENSG00000169962	TAS1R3	1	1266694	1270686	1266694
ENSG00000107404	DVL1	1	1270656	1284730	1284730
ENSG00000162576	MXRA8	1	1288069	1297157	1297157
ENSG00000175756	AURKAIP1	1	1309110	1310875	1310875
ENSG00000221978	CCNL2	1	1321091	1334708	1334708
ENSG00000242485	MRPL20	1	1337288	1342693	1342693
ENSG00000235098	ANKRD65	1	1353800	1357149	1357149
ENSG00000205116	TMEM88B	1	1361508	1363167	1361508
ENSG00000179403	VWA1	1	1370241	1378262	1370241
ENSG00000215915	ATAD3C	1	1385069	1405538	1385069
ENSG00000160072	ATAD3B	1	1407143	1433228	1407143
ENSG00000197785	ATAD3A	1	1447531	1470067	1447531
ENSG00000205090	TMEM240	1	1470554	1475833	1475833
ENSG00000160075	SSU72	1	1477053	1510249	1510249
ENSG00000228594	C1orf233	1	1533392	1535476	1535476
ENSG00000197530	MIB2	1	1550795	1565990	1550795
ENSG00000189409	MMP23B	1	1567474	1570639	1567474
ENSG00000248333	CDK11B	1	1570603	1590473	1590473
ENSG00000189339	SLC35E2B	1	1592939	1624167	1624167
ENSG00000008128	CDK11A	1	1634169	1655766	1655766
ENSG00000215790	SLC35E2	1	1656277	1677431	1677431
ENSG00000008130	NADK	1	1682671	1711896	1711896
ENSG00000078369	GNB1	1	1716729	1822495	1822495
ENSG00000169885	CALML6	1	1846266	1848735	1846266
ENSG00000178821	TMEM52	1	1849029	1850712	1850712
ENSG00000142609	C1orf222	1	1853396	1935276	1935276
ENSG00000187730	GABRD	1	1950780	1962192	1950780
ENSG00000067606	PRKCZ	1	1981909	2116834	1981909
