GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000131591    1    1017198    1051741     39       2  65967    -0.077364      0.53083
ENSG00000162571    1    1109264    1133315     61       4  65967     -0.95828      0.83104
ENSG00000186827    1    1146706    1149518      3       1  65967      -1.1901        0.883
ENSG00000078808    1    1152288    1167411     72       2  65967    -0.078085      0.53112
ENSG00000184163    1    1177826    1182102      7       1  65967       1.0037      0.15775
ENSG00000160087    1    1189289    1209265     27       2  65967      -1.0878      0.86165
ENSG00000162572    1    1215816    1227409      3       1  65967     -0.33696      0.63192
ENSG00000162576    1    1288069    1297157      8       1  65967       0.2482      0.40199
ENSG00000197785    1    1447531    1470067      8       1  65967      0.62006      0.26761
ENSG00000205090    1    1470554    1475833      4       1  65967       1.2606      0.10373
ENSG00000160075    1    1477053    1510249     43       2  65967       1.2529      0.10512
ENSG00000008130    1    1682671    1711896     39       3  65967     -0.11435      0.54552
ENSG00000078369    1    1716729    1822495     90       8  65967      0.90803      0.18193
ENSG00000169885    1    1846266    1848735      9       2  65967      0.73532      0.23107
ENSG00000178821    1    1849029    1850712      5       2  65967      0.56123      0.28732
ENSG00000142609    1    1853396    1935276     49       4  65967       1.1859      0.11784
ENSG00000067606    1    1981909    2116834    173       9  65967       2.3996    0.0082072
ENSG00000162585    1    2115903    2144159     23       3  65967       2.6582    0.0039274
ENSG00000157933    1    2160134    2241558    109      13  65967       1.6908     0.045441
ENSG00000116151    1    2252692    2323146    158      20  65967     -0.30616      0.62026
ENSG00000157916    1    2323267    2336883     19       4  65967       1.6598     0.048478
ENSG00000157911    1    2336236    2345236      7       2  65967       1.1766      0.11968
ENSG00000149527    1    2357419    2436969     26       5  65967       1.0403       0.1491
ENSG00000157881    1    2439972    2458039     26       2  65967      0.99725      0.15932
ENSG00000197921    1    2460184    2461684      1       1  65967       1.5057      0.06607
ENSG00000157873    1    2487078    2496821     14       2  65967       2.1286     0.016642
ENSG00000157870    1    2517930    2522908      4       1  65967       2.6923    0.0035476
ENSG00000142606    1    2522078    2564481    108       3  65967       3.1049   0.00095175
ENSG00000215912    1    2567415    2718286     40       4  65967         3.03     0.001223
ENSG00000169717    1    2938046    2939465      2       1  65967      0.11772      0.45315
ENSG00000142611    1    2985732    3355185    636      69  65967       1.9307     0.026759
ENSG00000130762    1    3370990    3397677     58       5  65967        1.725      0.04226
ENSG00000162591    1    3406484    3528059     15       4  65967     -0.82805      0.79618
ENSG00000158109    1    3541566    3546691      6       1  65967      0.51576      0.30301
ENSG00000116213    1    3547331    3569325     15       3  65967      0.59544      0.27578
ENSG00000078900    1    3569084    3652765     42       6  65967      0.35006      0.36315
ENSG00000162592    1    3668962    3688209     43       7  65967      -0.6264      0.73447
ENSG00000235169    1    3689352    3692546      9       3  65967      0.43613      0.33137
ENSG00000130764    1    3696784    3713068     56       9  65967     -0.40803      0.65837
ENSG00000116198    1    3728645    3773778    246      12  65967    -0.040497      0.51615
ENSG00000169598    1    3773845    3801993     84       7  65967      -1.0303      0.84855
ENSG00000198912    1    3805689    3816857     30       4  65967     0.076178      0.46964
ENSG00000196581    1    4714792    4852594    441      58  65967      0.60569      0.27236
ENSG00000131697    1    5922871    6052533    311      12  65967     -0.76975      0.77928
ENSG00000069424    1    6051526    6161253    149      20  65967      0.15923      0.43674
ENSG00000116254    1    6161853    6240183    145      15  65967     -0.18987       0.5753
ENSG00000116251    1    6241329    6269449     11       1  65967       1.4981     0.067055
ENSG00000158286    1    6265535    6281359     14       2  65967      0.40412      0.34306
ENSG00000116237    1    6281253    6296032     21       3  65967      0.12726      0.44937
ENSG00000173673    1    6304252    6305638      1       1  65967     0.090865       0.4638
ENSG00000158292    1    6307406    6321035     26       1  65967      -1.0206      0.84627
ENSG00000097021    1    6324329    6454451    319      16  65967     -0.65852       0.7449
ENSG00000069812    1    6472478    6484730     31       5  65967      0.27742      0.39073
ENSG00000187017    1    6484848    6521430     65       6  65967       0.1959      0.42234
ENSG00000215788    1    6521211    6526255      5       1  65967      0.83081      0.20304
ENSG00000171680    1    6526152    6580121     57       9  65967       2.1316     0.016518
ENSG00000162408    1    6581407    6614595     84       2  65967    -0.091084      0.53629
ENSG00000173662    1    6615241    6639817     20       2  65967      0.17667      0.42988
ENSG00000204859    1    6640061    6649340      5       2  65967       2.3785    0.0086923
ENSG00000162413    1    6650784    6674667     24       3  65967       2.8181    0.0024153
ENSG00000116273    1    6673745    6684093     16       3  65967       3.1287   0.00087778
ENSG00000041988    1    6684926    6695646     23       3  65967       3.2827   0.00051416
ENSG00000007923    1    6694228    6761984     99       8  65967       3.8659    5.535e-05
ENSG00000171735    1    6845384    7829766   1938     140  65967     0.089004      0.46454
ENSG00000049245    1    7831329    7841492     29       7  65967       2.0632     0.019547
ENSG00000049246    1    7844380    7905237    210      24  65967       1.0027        0.158
ENSG00000049247    1    7903143    7913572     34      10  65967      0.16301      0.43525
ENSG00000049249    1    7979907    8000926     34       4  65967      -1.0711      0.85793
ENSG00000116288    1    8014351    8045565     45       5  65967       1.2345      0.10852
ENSG00000116285    1    8064464    8086368     25       4  65967       1.0667      0.14306
ENSG00000162426    1    8377886    8404227     61       8  65967       3.7372   9.3041e-05
ENSG00000142599    1    8412457    8877702    476      15  65967        3.478   0.00025257
ENSG00000074800    1    8921061    8939308     21       3  65967       1.3804     0.083736
ENSG00000131686    1    9005926    9035151     71      12  65967      0.35561      0.36107
ENSG00000197241    1    9063359    9086404     20       7  65967      -1.1206      0.86877
ENSG00000142583    1    9095166    9148537    142      16  65967       -1.437      0.92464
ENSG00000180758    1    9160364    9189229     55       6  65967      -1.2973      0.90273
ENSG00000049239    1    9294834    9331396     65       9  65967     0.089902      0.46418
ENSG00000171621    1    9352939    9429591    176      25  65967     -0.11495      0.54576
ENSG00000171612    1    9599541    9645237     36       2  65967      -1.7111      0.95647
ENSG00000188807    1    9648932    9674935     23       2  65967     -0.99985      0.84131
ENSG00000171608    1    9711790    9789172     74      11  65967     -0.16146      0.56413
ENSG00000179840    1    9712668    9714644      4       1  65967       1.0608      0.14439
ENSG00000171603    1    9789084    9884584     63       3  65967      -1.1286      0.87047
ENSG00000178585    1    9908334    9970394     30       3  65967      0.34502      0.36504
ENSG00000162441    1    9982173   10003465     33       4  65967     -0.86848      0.80743
ENSG00000173614    1   10003486   10045559     40       4  65967     -0.49535      0.68982
ENSG00000162444    1   10057264   10076078     15       2  65967      -1.1989      0.88472
ENSG00000130939    1   10092890   10241297    132      15  65967     -0.36872      0.64383
ENSG00000054523    1   10270863   10441661    303      10  65967     -0.30182       0.6186
ENSG00000142657    1   10458649   10480201     36       4  65967     -0.45522      0.67553
ENSG00000175279    1   10490159   10512210     38       4  65967      0.24546      0.40305
ENSG00000241563    1   10509776   10511959      3       1  65967    -0.086955      0.53465
ENSG00000160049    1   10516579   10532583     14       3  65967    -0.074227      0.52959
ENSG00000142655    1   10532345   10690815    284      15  65967      0.35231       0.3623
ENSG00000130940    1   10696661   10856707    134      23  65967      0.14552      0.44215
ENSG00000175262    1   11006528   11042094     88      10  65967     -0.79545      0.78683
ENSG00000120948    1   11072414   11085796     15       2  65967       1.5235     0.063823
ENSG00000009724    1   11086580   11107290     38       4  65967      0.79076      0.21454
ENSG00000116649    1   11114641   11120081      6       2  65967      0.14618      0.44189
ENSG00000171824    1   11126675   11159938     81       4  65967      -0.3081        0.621
ENSG00000198793    1   11166592   11322564    269       6  65967     -0.65608      0.74411
ENSG00000171819    1   11249398   11256038     11       1  65967     -0.11142      0.54436
ENSG00000120942    1   11333263   11356106     22       2  65967       1.3744     0.084663
ENSG00000204624    1   11539223   11597641    123      10  65967       2.3556    0.0092457
ENSG00000132879    1   11714432   11723384      4       1  65967       1.7152     0.043155
ENSG00000116663    1   11724181   11734411      6       1  65967       1.1299      0.12926
ENSG00000116670    1   11734537   11751707      5       1  65967       1.5521     0.060317
ENSG00000162490    1   11751786   11785914     50       9  65967       1.1477      0.12555
ENSG00000177674    1   11796141   11814859     35       4  65967     -0.42078      0.66304
ENSG00000215910    1   11821844   11849642    140       9  65967       1.8427     0.032689
ENSG00000177000    1   11845780   11866977     78      10  65967       1.8341     0.033319
ENSG00000011021    1   11866207   11903201    173      12  65967       1.4631     0.071725
ENSG00000175206    1   11905766   11908402     15       4  65967      0.53866      0.29506
ENSG00000116685    1   11979648   11986485     19       5  65967       1.1469      0.12572
ENSG00000083444    1   11994262   12035595     96       9  65967       1.2465      0.10629
